artist;id;name;degree
xxtristanxo (143649642);143649642;xxtristanxo;3
P Square (296505);296505;P Square;3
Styles P (81070);81070;Styles P;3
DJ SHAAN (67194412);67194412;DJ SHAAN;3
Big (270259);270259;Big;3
Styles (110728);110728;Styles;3
Taz (133122);133122;Taz;3
Negra Li (314726);314726;Negra Li;3
Ray Lavender (524340);524340;Ray Lavender;3
Sweet Rush (1695649);1695649;Sweet Rush;3
Devyne (4891290);4891290;Devyne;3
Picklehead (4891289);4891289;Picklehead;3
Daddy T (504258);504258;Daddy T;3
Vybz Kartel (100675);100675;Vybz Kartel;3
Shabba Ranks (71712);71712;Shabba Ranks;3
Sizzla (806);806;Sizzla;3
Booba (390);390;Booba;3
Kardinal Offishall (75490);75490;Kardinal Offishall;3
Colby O'Donis (75438);75438;Colby O'Donis;3
Dubdogz (10052642);10052642;Dubdogz;3
TCTS (1770011);1770011;TCTS;3
JME (644946);644946;JME;3
B Live (1232734);1232734;B Live;3
Little Simz (4578590);4578590;Little Simz;3
S1mba (14991905);14991905;S1mba;3
Jess Bays (68663022);68663022;Jess Bays;3
220 KID (50577082);50577082;220 KID;3
Banx & Ranx (6549069);6549069;Banx & Ranx;3
Magnificence (4685719);4685719;Magnificence;3
Bruno Martini (1545148);1545148;Bruno Martini;3
Biscits (11543733);11543733;Biscits;3
Watermät (5870438);5870438;Watermät;3
Tai (371611);371611;Tai;3
 (5305397);5305397;;3
 (260333);260333;;3
Jules Buckley (2407001);2407001;Jules Buckley;3
Pete Tong (401120);401120;Pete Tong;3
Wilkinson (1052497);1052497;Wilkinson;3
Shift K3Y (4516100);4516100;Shift K3Y;3
MK (148517);148517;MK;3
Meduza (1403694);1403694;Meduza;3
House Gospel Choir (10668709);10668709;House Gospel Choir;3
Roger Sanchez (3852);3852;Roger Sanchez;3
Cian Ducrot (10432720);10432720;Cian Ducrot;3
Alliel (9084662);9084662;Alliel;3
Tom Grennan (9956746);9956746;Tom Grennan;3
Ofenbach (6032634);6032634;Ofenbach;3
Teezee (1080548);1080548;Teezee;3
Nicole Wray (493726);493726;Nicole Wray;3
GLC (15609);15609;GLC;3
Chip tha Ripper (408560);408560;Chip tha Ripper;3
St. Vincent (14630);14630;St. Vincent;3
Cage (11587);11587;Cage;3
Nigo (158528202);158528202;Nigo;3
Billy Craven (4980217);4980217;Billy Craven;3
D'banj (303670);303670;D'banj;3
Cyhi The Prynce (4495511);4495511;Cyhi The Prynce;3
Raekwon (3886);3886;Raekwon;3
Phoebe Bridgers (1058631);1058631;Phoebe Bridgers;3
Cee-Lo (2777);2777;Cee-Lo;3
Willow (70942);70942;Willow;3
King Chip (4037134);4037134;King Chip;3
Andre Benjamin (197078);197078;Andre Benjamin;3
Dot Da Genius (8323750);8323750;Dot Da Genius;3
Crookers (54619);54619;Crookers;3
 (546473);546473;;3
 (6058);6058;;3
 (69627);69627;;3
 (5843387);5843387;;3
 (9961844);9961844;;3
 (6356948);6356948;;3
 (1324230);1324230;;3
 (10311522);10311522;;3
David Zowie (7887032);7887032;David Zowie;3
Bonnie Calean (7804308);7804308;Bonnie Calean;3
Chicco Secci (485043);485043;Chicco Secci;3
Yin Yang Twins (5106637);5106637;Yin Yang Twins;3
Mutungi (105481992);105481992;Mutungi;3
Blush (113287);113287;Blush;3
Bright Lights (482791);482791;Bright Lights;3
PINK IS PUNK (554700);554700;PINK IS PUNK;3
Reech (1660289);1660289;Reech;3
Canova (5480069);5480069;Canova;3
James Maslow (4764394);4764394;James Maslow;3
Ligabue (64932);64932;Ligabue;3
Heather Bright (4415020);4415020;Heather Bright;3
Rivaz (663082);663082;Rivaz;3
Channing (242927);242927;Channing;3
Raiche (10103984);10103984;Raiche;3
Vedo (353076);353076;Vedo;3
Serj Tankian (16998);16998;Serj Tankian;3
Christian Burns (1486750);1486750;Christian Burns;3
Steve 'Miggedy' Maestro (7504344);7504344;Steve 'Miggedy' Maestro;3
Felix da Housecat (747);747;Felix da Housecat;3
Dargen D'Amico (75680);75680;Dargen D'Amico;3
Izi (4677848);4677848;Izi;3
Frederick (140472);140472;Frederick;3
Lush & Simon (1598546);1598546;Lush & Simon;3
David Bowie (997);997;David Bowie;3
Canguro English (87439902);87439902;Canguro English;3
BB Team (6815759);6815759;BB Team;3
domiNo (7549);7549;domiNo;3
Achille Lauro (598070);598070;Achille Lauro;3
Dardust (7010575);7010575;Dardust;3
 (1626316);1626316;;3
 (1597019);1597019;;3
 (2514);2514;;3
 (4913073);4913073;;3
 (10537257);10537257;;3
 (5121167);5121167;;3
Kyle Reynolds (1520886);1520886;Kyle Reynolds;3
Sofi Tukker (7988922);7988922;Sofi Tukker;3
Gary Go (188288);188288;Gary Go;3
Chris Nasty (330881);330881;Chris Nasty;3
Anabel Englund (4864708);4864708;Anabel Englund;3
Saint Wilder (92826882);92826882;Saint Wilder;3
Burak Yeter (343656);343656;Burak Yeter;3
Public Enemy (3233);3233;Public Enemy;3
The Biz (1036702);1036702;The Biz;3
Dímelo Flow (12588946);12588946;Dímelo Flow;3
Trapical (11940451);11940451;Trapical;3
Marciano Cantero (1236039);1236039;Marciano Cantero;3
Jesse & Joy (67672);67672;Jesse & Joy;3
Skepta (432022);432022;Skepta;3
Tokischa (48947801);48947801;Tokischa;3
Lalo Ebratt (5526627);5526627;Lalo Ebratt;3
Jeon (8401508);8401508;Jeon;3
Trueno (1333264);1333264;Trueno;3
Mae Muller (13432195);13432195;Mae Muller;3
Polima WestCoast (13849327);13849327;Polima WestCoast;3
Badshah (1093616);1093616;Badshah;3
Jhay Cortez (13098657);13098657;Jhay Cortez;3
Natan & Shander (10256642);10256642;Natan & Shander;3
Totoy El Frio (9977062);9977062;Totoy El Frio;3
Crissin (3674271);3674271;Crissin;3
Sky (240427);240427;Sky;3
ZAAC (8403196);8403196;ZAAC;3
Selena Gomez (292185);292185;Selena Gomez;3
