source;target;song;id_song;id_source;name_source;id_target;name_target
Vince Gill (12904);Alan Jackson (517);All My Ex's Live In Texas;84313069;12904;Vince Gill;517;Alan Jackson
Vince Gill (12904);Miranda Lambert (5057);All My Ex's Live In Texas;84313069;12904;Vince Gill;5057;Miranda Lambert
Vince Gill (12904);Martina McBride (3242);All My Ex's Live In Texas;84313069;12904;Vince Gill;3242;Martina McBride
Faith Hill (1459);Alan Jackson (517);All My Ex's Live In Texas;84313069;1459;Faith Hill;517;Alan Jackson
Faith Hill (1459);Miranda Lambert (5057);All My Ex's Live In Texas;84313069;1459;Faith Hill;5057;Miranda Lambert
Faith Hill (1459);Martina McBride (3242);All My Ex's Live In Texas;84313069;1459;Faith Hill;3242;Martina McBride
Alan Jackson (517);Miranda Lambert (5057);All My Ex's Live In Texas;84313069;517;Alan Jackson;5057;Miranda Lambert
Alan Jackson (517);Martina McBride (3242);All My Ex's Live In Texas;84313069;517;Alan Jackson;3242;Martina McBride
Miranda Lambert (5057);Martina McBride (3242);All My Ex's Live In Texas;84313069;5057;Miranda Lambert;3242;Martina McBride
Jack Ingram (71442);Miranda Lambert (5057);In His Arms;1358992582;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);In His Arms;1358992582;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);In His Arms;1358992582;5057;Miranda Lambert;70188;Jon Randall
Dolly Parton (8741);Miranda Lambert (5057);Dumb Blonde;587696062;8741;Dolly Parton;5057;Miranda Lambert
Elle King (1709730);Miranda Lambert (5057);Drunk (And I Don't Wanna Go Home) (feat. Miranda Lambert);1345904992;1709730;Elle King;5057;Miranda Lambert
Jack Ingram (71442);Miranda Lambert (5057);Two-Step Down to Texas;1358992692;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Two-Step Down to Texas;1358992692;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Two-Step Down to Texas;1358992692;5057;Miranda Lambert;70188;Jon Randall
Jack Ingram (71442);Miranda Lambert (5057);Anchor;1331274862;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);Anchor;1331274862;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);Anchor;1331274862;5057;Miranda Lambert;70188;Jon Randall
Miranda Lambert (5057);The B-52's (1743);Music City Queen (feat. The B-52's);1728950007;5057;Miranda Lambert;1743;The B-52's
Miranda Lambert (5057);Pistol Annies (1364566);Run Daddy Run;16918523;5057;Miranda Lambert;1364566;Pistol Annies
Elle King (1709730);Miranda Lambert (5057);Drunk (And I Don't Wanna Go Home);1482487522;1709730;Elle King;5057;Miranda Lambert
Jack Ingram (71442);Miranda Lambert (5057);I Don't Like It;1358992592;71442;Jack Ingram;5057;Miranda Lambert
Jack Ingram (71442);Jon Randall (70188);I Don't Like It;1358992592;71442;Jack Ingram;70188;Jon Randall
Miranda Lambert (5057);Jon Randall (70188);I Don't Like It;1358992592;5057;Miranda Lambert;70188;Jon Randall
Miranda Lambert (5057);Maren Morris (393541);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;5057;Miranda Lambert;393541;Maren Morris
Miranda Lambert (5057);Elle King (1709730);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;5057;Miranda Lambert;1709730;Elle King
Miranda Lambert (5057);Ashley McBryde (1389877);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;5057;Miranda Lambert;1389877;Ashley McBryde
Miranda Lambert (5057);Tenille Townes (14539731);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;5057;Miranda Lambert;14539731;Tenille Townes
Miranda Lambert (5057);Caylee Hammack (13895525);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;5057;Miranda Lambert;13895525;Caylee Hammack
Maren Morris (393541);Elle King (1709730);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;393541;Maren Morris;1709730;Elle King
Maren Morris (393541);Ashley McBryde (1389877);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;393541;Maren Morris;1389877;Ashley McBryde
Maren Morris (393541);Tenille Townes (14539731);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;393541;Maren Morris;14539731;Tenille Townes
Maren Morris (393541);Caylee Hammack (13895525);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;393541;Maren Morris;13895525;Caylee Hammack
Elle King (1709730);Ashley McBryde (1389877);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;1709730;Elle King;1389877;Ashley McBryde
Elle King (1709730);Tenille Townes (14539731);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;1709730;Elle King;14539731;Tenille Townes
Elle King (1709730);Caylee Hammack (13895525);Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack);747588352;1709730;Elle King;13895525;Caylee Hammack
