artist;id;name;degree
Stefflon Don (3972081);3972081;Stefflon Don;3
J Balvin (4860761);4860761;J Balvin;3
MC Fioti (10833242);10833242;MC Fioti;3
Tems (13905711);13905711;Tems;3
Drake (246791);246791;Drake;3
Gryffin (7295534);7295534;Gryffin;3
Javier Bardem (8663204);8663204;Javier Bardem;3
Carrie Underwood (4388);4388;Carrie Underwood;3
Blake Shelton (8638);8638;Blake Shelton;3
Darius Rucker (243201);243201;Darius Rucker;3
Post Malone (7543848);7543848;Post Malone;3
Elvis Presley (1125);1125;Elvis Presley;3
Lyle, Lyle Crocodile Ensemble (185093097);185093097;Lyle, Lyle Crocodile Ensemble;3
Winslow Fegley (153163022);153163022;Winslow Fegley;3
Constance Wu (185093087);185093087;Constance Wu;3
Leon Bridges (7420680);7420680;Leon Bridges;3
Astrid S (7841120);7841120;Astrid S;3
Julia Michaels (2110321);2110321;Julia Michaels;3
teddy<3 (15247957);15247957;teddy<3;3
ZEDD (1198612);1198612;ZEDD;3
Khalid (362326);362326;Khalid;3
Camilo (58568762);58568762;Camilo;3
Tainy (4649104);4649104;Tainy;3
Justin Bieber (288166);288166;Justin Bieber;3
Camila Cabello (9236850);9236850;Camila Cabello;3
Bastille (1352097);1352097;Bastille;3
Mmph (11612831);11612831;Mmph;3
Thundercat (546520);546520;Thundercat;3
Mura Masa (6087776);6087776;Mura Masa;3
Ludwig Goransson (4553724);4553724;Ludwig Goransson;3
BloodPop® (12978885);12978885;BloodPop®;3
Bartees Strange (58371412);58371412;Bartees Strange;3
The Marías (12607183);12607183;The Marías;3
Glitch Gum (88534412);88534412;Glitch Gum;3
Fiona Apple (422);422;Fiona Apple;3
Rob Moose (3447571);3447571;Rob Moose;3
Mercury Rev (1416);1416;Mercury Rev;3
Matt Berninger (4179209);4179209;Matt Berninger;3
Conor Oberst (110791);110791;Conor Oberst;3
Better Oblivion Community Center (56661962);56661962;Better Oblivion Community Center;3
Lucy Dacus (9325272);9325272;Lucy Dacus;3
Julien Baker (8741264);8741264;Julien Baker;3
John McDaid (4419036);4419036;John McDaid;3
 (4407980);4407980;;3
 (68);68;;3
 (4402393);4402393;;3
 (78998);78998;;3
Spoon (1280);1280;Spoon;3
The Roots (239);239;The Roots;3
Tom Morello (415645);415645;Tom Morello;3
Pat Monahan (71565);71565;Pat Monahan;3
Juanes (70);70;Juanes;3
Brandon Flowers (560341);560341;Brandon Flowers;3
Peter Frampton (2210);2210;Peter Frampton;3
John Fogerty (2140);2140;John Fogerty;3
Aloe Blacc (10183);10183;Aloe Blacc;3
Santana (553);553;Santana;3
Vince Gill (12904);12904;Vince Gill;3
Derek Trucks (410081);410081;Derek Trucks;3
Susan Tedeschi (4091);4091;Susan Tedeschi;3
Steve Earle (3091);3091;Steve Earle;3
Sheryl Crow (1439);1439;Sheryl Crow;3
Ray Benson (195750);195750;Ray Benson;3
The Little Willies (7588);7588;The Little Willies;3
Norah Jones (810);810;Norah Jones;3
Nathaniel Rateliff (401644);401644;Nathaniel Rateliff;3
Micah Nelson (1675278);1675278;Micah Nelson;3
Margo Price (9587668);9587668;Margo Price;3
Lyle Lovett (134009);134009;Lyle Lovett;3
Lukas Nelson (392934);392934;Lukas Nelson;3
Lee Ann Womack (2313);2313;Lee Ann Womack;3
 (69521);69521;;3
 (6076);6076;;3
 (144075);144075;;3
 (896);896;;3
 (5235);5235;;3
Eric Church (243606);243606;Eric Church;3
Emmylou Harris (3545);3545;Emmylou Harris;3
Dave Matthews (12202);12202;Dave Matthews;3
Bobby Bare (69519);69519;Bobby Bare;3
The Avett Brothers (255818);255818;The Avett Brothers;3
Willie Nelson (2947);2947;Willie Nelson;3
Bruno Mars (429675);429675;Bruno Mars;3
